Report Date,Country,Indicator,Value
2005-01-01,BEL,WHOSIS_000001,76.07136
2006-01-01,BEL,WHOSIS_000001,81.89346
2007-01-01,BEL,WHOSIS_000001,79.5657
2008-01-01,BEL,WHOSIS_000001,76.86481
2009-01-01,BEL,WHOSIS_000001,79.82665
2010-01-01,BEL,WHOSIS_000001,82.37869
2011-01-01,BEL,WHOSIS_000001,82.60791
2012-01-01,BEL,WHOSIS_000001,80.07119
2013-01-01,BEL,WHOSIS_000001,77.89167
2014-01-01,BEL,WHOSIS_000001,80.94131
2015-01-01,BEL,WHOSIS_000001,78.48319
2016-01-01,BEL,WHOSIS_000001,81.07461
2017-01-01,BEL,WHOSIS_000001,81.15125
2018-01-01,BEL,WHOSIS_000001,79.10149
2019-01-01,BEL,WHOSIS_000001,83.65574
2020-01-01,BEL,WHOSIS_000001,82.88313
2021-01-01,BEL,WHOSIS_000001,83.68795
2000-01-01,BEN,WHOSIS_000001,57.4211
2001-01-01,BEN,WHOSIS_000001,57.74456
2002-01-01,BEN,WHOSIS_000001,58.09381
2003-01-01,BEN,WHOSIS_000001,56.44467
2004-01-01,BEN,WHOSIS_000001,56.9
2005-01-01,BEN,WHOSIS_000001,61.09484
2006-01-01,BEN,WHOSIS_000001,59.54017
2007-01-01,BEN,WHOSIS_000001,61.73573
2008-01-01,BEN,WHOSIS_000001,60.45115
2009-01-01,BEN,WHOSIS_000001,60.9941
2010-01-01,BEN,WHOSIS_000001,63.54981
2011-01-01,BEN,WHOSIS_000001,61.56618
2012-01-01,BEN,WHOSIS_000001,64.16422
2013-01-01,BEN,WHOSIS_000001,59.77731
2014-01-01,BEN,WHOSIS_000001,60.01569
2015-01-01,BEN,WHOSIS_000001,65.0498
2016-01-01,BEN,WHOSIS_000001,63.00217
2017-01-01,BEN,WHOSIS_000001,60.99889
2018-01-01,BEN,WHOSIS_000001,63.7386
2019-01-01,BEN,WHOSIS_000001,66.58203
2020-01-01,BEN,WHOSIS_000001,64.40363
2021-01-01,BEN,WHOSIS_000001,66.37543
2000-01-01,BFA,WHOSIS_000001,53.32654
2001-01-01,BFA,WHOSIS_000001,50.79574
2002-01-01,BFA,WHOSIS_000001,52.90686
2003-01-01,BFA,WHOSIS_000001,53.57988
2004-01-01,BFA,WHOSIS_000001,52.68388
2005-01-01,BFA,WHOSIS_000001,55.19811
2006-01-01,BFA,WHOSIS_000001,57.63779
2007-01-01,BFA,WHOSIS_000001,54.85857
2008-01-01,BFA,WHOSIS_000001,55.49583
2009-01-01,BFA,WHOSIS_000001,58.06656
2010-01-01,BFA,WHOSIS_000001,56.45253
2011-01-01,BFA,WHOSIS_000001,56.79375
2012-01-01,BFA,WHOSIS_000001,57.11169
2013-01-01,BFA,WHOSIS_000001,57.49092
2014-01-01,BFA,WHOSIS_000001,62.87516
2015-01-01,BFA,WHOSIS_000001,60.94298
2016-01-01,BFA,WHOSIS_000001,58.87874
2017-01-01,BFA,WHOSIS_000001,61.88093
2018-01-01,BFA,WHOSIS_000001,64.70997
2019-01-01,BFA,WHOSIS_000001,65.06136
2020-01-01,BFA,WHOSIS_000001,65.47295
2021-01-01,BFA,WHOSIS_000001,62.29729
2000-01-01,BGD,WHOSIS_000001,63.71118
2001-01-01,BGD,WHOSIS_000001,64.31253
2002-01-01,BGD,WHOSIS_000001,66.35391
2003-01-01,BGD,WHOSIS_000001,66.78352
2004-01-01,BGD,WHOSIS_000001,65.73796
2005-01-01,BGD,WHOSIS_000001,69.869
2006-01-01,BGD,WHOSIS_000001,68.09324
2007-01-01,BGD,WHOSIS_000001,68.42856
2008-01-01,BGD,WHOSIS_000001,69.03267
2009-01-01,BGD,WHOSIS_000001,69.60483
2010-01-01,BGD,WHOSIS_000001,71.87408
2011-01-01,BGD,WHOSIS_000001,71.08337
2012-01-01,BGD,WHOSIS_000001,72.0931
2013-01-01,BGD,WHOSIS_000001,71.51261
2014-01-01,BGD,WHOSIS_000001,74.00528
2015-01-01,BGD,WHOSIS_000001,72.06824
2016-01-01,BGD,WHOSIS_000001,73.44362
2017-01-01,BGD,WHOSIS_000001,72.08322
2018-01-01,BGD,WHOSIS_000001,74.98281
2019-01-01,BGD,WHOSIS_000001,75.25883
2020-01-01,BGD,WHOSIS_000001,73.29813
2021-01-01,BGD,WHOSIS_000001,73.10252
2000-01-01,BGR,WHOSIS_000001,71.64288
2001-01-01,BGR,WHOSIS_000001,68.48822
2002-01-01,BGR,WHOSIS_000001,68.80045
2003-01-01,BGR,WHOSIS_000001,68.85264
2004-01-01,BGR,WHOSIS_000001,76.09461
2005-01-01,BGR,WHOSIS_000001,76.13493
2006-01-01,BGR,WHOSIS_000001,76.20679
2007-01-01,BGR,WHOSIS_000001,69.42648
2008-01-01,BGR,WHOSIS_000001,76.89818
2009-01-01,BGR,WHOSIS_000001,70.01205
2010-01-01,BGR,WHOSIS_000001,77.23357
2011-01-01,BGR,WHOSIS_000001,70.59389
2012-01-01,BGR,WHOSIS_000001,70.84608
2013-01-01,BGR,WHOSIS_000001,78.42358
2014-01-01,BGR,WHOSIS_000001,74.40808
2015-01-01,BGR,WHOSIS_000001,78.03979
2016-01-01,BGR,WHOSIS_000001,78.38294
2017-01-01,BGR,WHOSIS_000001,74.7199
2018-01-01,BGR,WHOSIS_000001,71.42744
2019-01-01,BGR,WHOSIS_000001,71.52315
2020-01-01,BGR,WHOSIS_000001,73.48961
2021-01-01,BGR,WHOSIS_000001,71.30586
2000-01-01,BHR,WHOSIS_000001,69.68564
2001-01-01,BHR,WHOSIS_000001,70.36972
2002-01-01,BHR,WHOSIS_000001,69.84981
2003-01-01,BHR,WHOSIS_000001,71.92969
2004-01-01,BHR,WHOSIS_000001,72.15432
2005-01-01,BHR,WHOSIS_000001,72.49797
2006-01-01,BHR,WHOSIS_000001,70.86792
2007-01-01,BHR,WHOSIS_000001,71.60547
2008-01-01,BHR,WHOSIS_000001,74.03212
2009-01-01,BHR,WHOSIS_000001,72.60051
2010-01-01,BHR,WHOSIS_000001,73.86198
2011-01-01,BHR,WHOSIS_000001,75.20536
2012-01-01,BHR,WHOSIS_000001,73.8905
2013-01-01,BHR,WHOSIS_000001,74.51113
2014-01-01,BHR,WHOSIS_000001,75.64496
2015-01-01,BHR,WHOSIS_000001,75.1564
2016-01-01,BHR,WHOSIS_000001,75.65907
2017-01-01,BHR,WHOSIS_000001,76.78468
2018-01-01,BHR,WHOSIS_000001,77.0348
2019-01-01,BHR,WHOSIS_000001,75.38745
2020-01-01,BHR,WHOSIS_000001,73.61108
2021-01-01,BHR,WHOSIS_000001,75.09466
2000-01-01,BHS,WHOSIS_000001,70.96745
2001-01-01,BHS,WHOSIS_000001,74.51376
2002-01-01,BHS,WHOSIS_000001,68.2876
2003-01-01,BHS,WHOSIS_000001,72.01357
2004-01-01,BHS,WHOSIS_000001,72.1441
2005-01-01,BHS,WHOSIS_000001,69.51301
2006-01-01,BHS,WHOSIS_000001,69.36004
2007-01-01,BHS,WHOSIS_000001,69.72842
2008-01-01,BHS,WHOSIS_000001,72.97663
2009-01-01,BHS,WHOSIS_000001,76.1147
2010-01-01,BHS,WHOSIS_000001,72.74533
2011-01-01,BHS,WHOSIS_000001,72.74544
2012-01-01,BHS,WHOSIS_000001,69.52595
2013-01-01,BHS,WHOSIS_000001,69.87316
2014-01-01,BHS,WHOSIS_000001,72.64786
2015-01-01,BHS,WHOSIS_000001,75.97453
2016-01-01,BHS,WHOSIS_000001,72.94918
2017-01-01,BHS,WHOSIS_000001,73.21937
2018-01-01,BHS,WHOSIS_000001,73.38286
2019-01-01,BHS,WHOSIS_000001,73.25848
2020-01-01,BHS,WHOSIS_000001,75.95912
2021-01-01,BHS,WHOSIS_000001,73.4728
2000-01-01,BIH,WHOSIS_000001,72.73088
2001-01-01,BIH,WHOSIS_000001,72.96983
2002-01-01,BIH,WHOSIS_000001,78.84138
2003-01-01,BIH,WHOSIS_000001,79.15537
2004-01-01,BIH,WHOSIS_000001,76.62935
2005-01-01,BIH,WHOSIS_000001,76.54879
2006-01-01,BIH,WHOSIS_000001,73.65151
2007-01-01,BIH,WHOSIS_000001,79.25797
2008-01-01,BIH,WHOSIS_000001,73.68723
2009-01-01,BIH,WHOSIS_000001,76.78258
2010-01-01,BIH,WHOSIS_000001,74.27349
2011-01-01,BIH,WHOSIS_000001,77.05795
2012-01-01,BIH,WHOSIS_000001,79.70122
2013-01-01,BIH,WHOSIS_000001,79.69021
2014-01-01,BIH,WHOSIS_000001,74.6846
2015-01-01,BIH,WHOSIS_000001,74.5276
2016-01-01,BIH,WHOSIS_000001,77.13183
2017-01-01,BIH,WHOSIS_000001,74.91483
